,, X, Y, X, Y, X, Y
,,       in,       in,       in,       in
,E40,  0.2497,  2.9180,  0.0432,  0.5734,  0.0002,  0.0030
,E41,  1.7483,  0.5281,  0.3602,  0.0831,  0.0019,  0.0004
,E42,  1.7275,  0.0799,  0.3539, -0.0043,  0.0018,  0.0000
,E43, -1.7275, -0.0799, -0.3539,  0.0043,  0.0018,  0.0000
,E44, -1.7483, -0.5281, -0.3602, -0.0831,  0.0019,  0.0004
,E45,  0.5559,  0.8382,  0.1176,  0.1574,  0.0006,  0.0008
,E46,  0.4868, -0.6558,  0.0966, -0.1338,  0.0005,  0.0007
,E47, -0.4868,  0.6558, -0.0966,  0.1338,  0.0005,  0.0007
,E48, -0.5559, -0.8382, -0.1176, -0.1574,  0.0006,  0.0008
,E49,  1.8128,  1.1794,  0.3700,  0.2114,  0.0019,  0.0011
,E50,  1.6630, -0.5714,  0.3441, -0.1326,  0.0018,  0.0007
,E51, -1.6630,  0.5714, -0.3441,  0.1326,  0.0018,  0.0007
,E52, -1.8128, -1.1794, -0.3700, -0.2114,  0.0019,  0.0011
,E53,  0.7710,  3.0092,  0.1503,  0.5852,  0.0008,  0.0030
,E54,  0.2717, -2.8268,  0.0639, -0.5616,  0.0003,  0.0029
,E55, -0.2717,  2.8268, -0.0639,  0.5616,  0.0003,  0.0029
,E56, -0.7710, -3.0092, -0.1503, -0.5852,  0.0008,  0.0030
,E57,  1.6517, -0.4501,  0.3454, -0.1105,  0.0018,  0.0006
,E58,  1.6309, -0.8983,  0.3391, -0.1979,  0.0018,  0.0010
,E59, -1.6309,  0.8983, -0.3391,  0.1979,  0.0018,  0.0010
,E60, -1.6517,  0.4501, -0.3454,  0.1105,  0.0018,  0.0006
,E61,  0.5269,  0.5448,  0.1132,  0.0993,  0.0006,  0.0005
,E62,  0.4578, -0.9493,  0.0922, -0.1919,  0.0005,  0.0010
,E63, -0.4578,  0.9493, -0.0922,  0.1919,  0.0005,  0.0010
,E64, -0.5269, -0.5448, -0.1132, -0.0993,  0.0006,  0.0005
,E65,  1.7162,  0.2012,  0.3552,  0.0178,  0.0019,  0.0001
,E66,  1.5664, -1.5496,  0.3293, -0.3262,  0.0017,  0.0017
,E67, -1.5664,  1.5496, -0.3293,  0.3262,  0.0017,  0.0017
,E68, -1.7162, -0.2012, -0.3552, -0.0178,  0.0019,  0.0001
,E69,  0.7421,  2.7158,  0.1459,  0.5271,  0.0008,  0.0027
,E70,  0.2427, -3.1202,  0.0595, -0.6197,  0.0003,  0.0032
,E71, -0.2427,  3.1202, -0.0595,  0.6197,  0.0003,  0.0032
,E72, -0.7421, -2.7158, -0.1459, -0.5271,  0.0008,  0.0027
,W13,  1.1292, -0.1915,  0.2195, -0.0489,  0.0011,  0.0003
,W14,  0.1802,  2.3157,  0.0313,  0.4124,  0.0002,  0.0021
,W15,  0.8696,  0.0825,  0.1677,  0.0047,  0.0009,  0.0000
,W16,  0.8243, -0.3698,  0.1615, -0.0780,  0.0008,  0.0004
,W17,  0.0295,  0.6904,  0.0091,  0.1202,  0.0000,  0.0006
,W18,  0.2408,  2.7831,  0.0378,  0.4984,  0.0002,  0.0026
,W19,  0.9821,  1.5931,  0.1880,  0.2727,  0.0010,  0.0014
,W20,  0.7118, -1.8804,  0.1412, -0.3460,  0.0007,  0.0018
,W21,  0.8328,  2.1492,  0.1541,  0.3774,  0.0008,  0.0020
,W22,  0.6404,  0.2405,  0.1279,  0.0316,  0.0007,  0.0002
